seller_id,seller_name,origin
1,AmazonBasics,USA
2,AnkerDirect,USA
3,Tech Armor,USA
4,iSaddle,USA
5,Ailun,USA
6,Etekcity,USA
7,Ring,USA
8,Logitech,USA
9,TP-Link,USA
10,Blink Home Security,China
11,Wyze Labs,China
12,All-new Echo,China
13,Jabra,China
14,RAVPower,China
15,JBL,USA
16,OontZ,China
17,VAVA,China
18,JETech,China
19,Seagate,China
20,SanDisk,China
21,Samsung Electronics,China
22,Sonos,China
23,Bissell,China
24,Shark,UK
25,iRobot,UK
26,Cuisinart,UK
27,Hamilton Beach,UK
28,Breville,UK
29,Keurig,UK
30,Instant Pot,UK
31,Lodge,China
32,T-fal,China
33,Pyrex,USA
34,Chefman,USA
35,Oster,USA
36,Rubbermaid,USA
37,Neato Robotics,USA
38,Hoover,USA
39,Dirt Devil,USA
40,BONA,USA
41,Moen,Canada
42,Delta Faucet,Canada
43,Kohler,Canada
44,American Standard,Canada
45,Bounty,Canada
46,Charmin,Canada
47,Pampers,Canada
48,Huggies,Canada
49,Luvs,Canada
50,Seventh Generation,USA
51,Method,USA
52,Mrs. Meyer's,USA
53,Clorox,USA
54,Lysol,USA